rel_path,language,ais,risk,gss,injection_vectors,sdk_found,agent_patterns,dangerous_exec,signals
package/src/batch/batch.ts,JavaScript,58,ELEVATED,0,1,"import {
  UnsupportedFunctionalityError,
  type Experimental_BatchLanguageModelV4 as BatchLanguageModelV4,
  type Experimental_BatchV4ItemResult as BatchV4ItemResult,
  type LanguageModelV4,
  type LanguageModelV4GenerateResult,
  type LanguageModelV4ToolCall,
} from '@ai-sdk/; import { type ToolSet, withUserAgentSuffix } from '@ai-sdk/",,,ai_sdk_import(2_sdk(s)_detected); prompt_injection_partial(1)
package/src/generate-text/tool-approval-signature.ts,JavaScript,58,ELEVATED,0,1,import { convertBase64ToUint8Array } from '@ai-sdk/,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_partial(1)
package/src/global.ts,JavaScript,40,ELEVATED,0,0,"import type { ProviderV2, ProviderV3, ProviderV4 } from '@ai-sdk/",,,ai_sdk_import(1_sdk(s)_detected)
package/src/transcribe/stream-transcribe-result.ts,JavaScript,40,ELEVATED,0,0,"import type { JSONObject, SharedV4ProviderMetadata } from '@ai-sdk/",,,ai_sdk_import(1_sdk(s)_detected)
package/src/transcribe/transcribe.ts,JavaScript,40,ELEVATED,0,0,"import type { JSONObject } from '@ai-sdk/; import {
  detectMediaType,
  withUserAgentSuffix,
  type ProviderOptions,
} from '@ai-sdk/",,,ai_sdk_import(2_sdk(s)_detected)
package/src/transcribe/transcribe-result.ts,JavaScript,40,ELEVATED,0,0,import type { JSONObject } from '@ai-sdk/,,,ai_sdk_import(1_sdk(s)_detected)
package/src/transcribe/stream-transcribe.ts,JavaScript,40,ELEVATED,0,0,"import {
  UnsupportedFunctionalityError,
  type Experimental_TranscriptionModelV4StreamPart,
  type JSONObject,
  type SharedV4AudioFormat,
} from '@ai-sdk/; import {
  DelayedPromise,
  withUserAgentSuffix,
  type ProviderOptions,
} from '@ai-sdk/",,,ai_sdk_import(2_sdk(s)_detected)
package/src/ui-message-stream/create-ui-message-stream.ts,JavaScript,40,ELEVATED,0,0,"import {
  generateId as generateIdFunc,
  type IdGenerator,
} from '@ai-sdk/",,,ai_sdk_import(1_sdk(s)_detected)
package/src/ui-message-stream/get-response-ui-message-id.ts,JavaScript,40,ELEVATED,0,0,import type { IdGenerator } from '@ai-sdk/,,,ai_sdk_import(1_sdk(s)_detected)
package/src/ui-message-stream/to-ui-message-chunk.ts,JavaScript,40,ELEVATED,0,0,import type { ToolSet } from '@ai-sdk/,,,ai_sdk_import(1_sdk(s)_detected)
package/src/ui-message-stream/to-ui-message-stream.ts,JavaScript,40,ELEVATED,0,0,import type { ToolSet } from '@ai-sdk/,,,ai_sdk_import(1_sdk(s)_detected)
package/src/ui-message-stream/ui-message-chunks.ts,JavaScript,40,ELEVATED,0,0,"import type { JSONObject } from '@ai-sdk/; import { lazySchema, zodSchema } from '@ai-sdk/",,,ai_sdk_import(2_sdk(s)_detected)
package/src/middleware/wrap-provider.ts,JavaScript,40,ELEVATED,0,0,"import type { ProviderV2, ProviderV3, ProviderV4 } from '@ai-sdk/",,,ai_sdk_import(1_sdk(s)_detected)
package/src/middleware/add-tool-input-examples-middleware.ts,JavaScript,40,ELEVATED,0,0,"import type { JSONObject, LanguageModelV4FunctionTool } from '@ai-sdk/; import { wrapLanguageModel, addToolInputExamplesMiddleware } from 'ai",,,ai_sdk_import(2_sdk(s)_detected)
package/src/middleware/simulate-streaming-middleware.ts,JavaScript,40,ELEVATED,0,0,import type { LanguageModelV4StreamPart } from '@ai-sdk/,,,ai_sdk_import(1_sdk(s)_detected)
package/src/middleware/extract-json-middleware.ts,JavaScript,40,ELEVATED,0,0,"import type {
  LanguageModelV4Content,
  LanguageModelV4StreamPart,
} from '@ai-sdk/",,,ai_sdk_import(1_sdk(s)_detected)
package/src/middleware/default-embedding-settings-middleware.ts,JavaScript,40,ELEVATED,0,0,import type { EmbeddingModelV4CallOptions } from '@ai-sdk/,,,ai_sdk_import(1_sdk(s)_detected)
