rel_path,language,ais,risk,gss,injection_vectors,sdk_found,agent_patterns,dangerous_exec,signals
anthropic-1.2.0/src/anthropic/lib/tools/agent_toolset.py,Python,90,HIGH,0,0,from anthropic,,eval/exec found (3 occurrence(s)),ai_sdk_import(1_sdk(s)_detected); dynamic_execution(eval/exec_x3)
anthropic-1.2.0/tests/lib/tools/test_agent_toolset.py,Python,90,HIGH,0,0,from anthropic,,eval/exec found (8 occurrence(s)),ai_sdk_import(1_sdk(s)_detected); dynamic_execution(eval/exec_x8)
anthropic-1.2.0/tests/test_middleware.py,Python,80,HIGH,0,0,from anthropic; http:bedrock-runtime,hand_rolled_loop,,ai_sdk_import(1_sdk(s)_detected); ai_http_endpoint(bedrock-runtime); agent_loop(ai_call_inside_loop); cost_risk(ai_calls_inside_loop)
anthropic-1.2.0/tests/api_resources/test_messages.py,Python,80,HIGH,0,0,from anthropic; import Anthropic,hand_rolled_loop,,ai_sdk_import(2_sdk(s)_detected); agent_loop(ai_call_inside_loop); cost_risk(ai_calls_inside_loop)
anthropic-1.2.0/tests/lib/tools/test_functions.py,Python,80,HIGH,0,0,from anthropic,function_tool,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(function_tool)
anthropic-1.2.0/examples/memory/basic.py,Python,75,HIGH,0,3,from anthropic; import Anthropic,,,ai_sdk_import(2_sdk(s)_detected); prompt_injection_vectors(3_unsanitised_inputs)
anthropic-1.2.0/src/anthropic/lib/tools/_beta_runner.py,Python,75,HIGH,0,11,import Anthropic,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_vectors(11_unsanitised_inputs)
anthropic-1.2.0/examples/fallbacks.py,Python,58,ELEVATED,0,1,from anthropic; import Anthropic,,,ai_sdk_import(2_sdk(s)_detected); prompt_injection_partial(1)
anthropic-1.2.0/examples/tools.py,Python,58,ELEVATED,0,1,from anthropic; import Anthropic,,,ai_sdk_import(2_sdk(s)_detected); prompt_injection_partial(1)
anthropic-1.2.0/examples/messages.py,Python,58,ELEVATED,0,1,from anthropic; import Anthropic,,,ai_sdk_import(2_sdk(s)_detected); prompt_injection_partial(1)
anthropic-1.2.0/examples/structured_outputs.py,Python,58,ELEVATED,0,1,import anthropic,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_partial(1)
anthropic-1.2.0/examples/structured_outputs_streaming.py,Python,58,ELEVATED,0,1,import anthropic,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_partial(1)
anthropic-1.2.0/src/anthropic/lib/tools/_beta_session_runner.py,Python,58,ELEVATED,0,2,from anthropic,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_partial(2)
anthropic-1.2.0/tests/lib/test_vertex.py,Python,58,ELEVATED,0,1,from anthropic,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_partial(1)
anthropic-1.2.0/tests/lib/test_bedrock.py,Python,58,ELEVATED,0,1,from anthropic; http:bedrock-runtime,,,ai_sdk_import(1_sdk(s)_detected); ai_http_endpoint(bedrock-runtime); prompt_injection_partial(1)
anthropic-1.2.0/tests/lib/test_refusal_fallback_streaming.py,Python,58,ELEVATED,0,1,from anthropic,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_partial(1)
anthropic-1.2.0/tests/lib/tools/test_runners.py,Python,58,ELEVATED,0,2,from anthropic; import Anthropic,,,ai_sdk_import(2_sdk(s)_detected); prompt_injection_partial(2)
anthropic-1.2.0/examples/google_cloud.py,Python,40,ELEVATED,0,0,from anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/examples/mcp_tool_runner.py,Python,40,ELEVATED,0,0,from mcp; from anthropic,,,ai_sdk_import(2_sdk(s)_detected)
anthropic-1.2.0/examples/web_search.py,Python,40,ELEVATED,0,0,from anthropic; import Anthropic,,,ai_sdk_import(2_sdk(s)_detected)
anthropic-1.2.0/examples/managed-agents-observe-tool-calls.py,Python,40,ELEVATED,0,0,from anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/examples/images.py,Python,40,ELEVATED,0,0,from anthropic; import Anthropic,,,ai_sdk_import(2_sdk(s)_detected)
anthropic-1.2.0/examples/managed-agents-streaming-deltas-manual.py,Python,40,ELEVATED,0,0,from anthropic; import Anthropic,,,ai_sdk_import(2_sdk(s)_detected)
anthropic-1.2.0/examples/bedrock.py,Python,40,ELEVATED,0,0,from anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/examples/managed-agents-worker-dispatch.py,Python,40,ELEVATED,0,0,from anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/examples/agents_comprehensive.py,Python,40,ELEVATED,0,0,from anthropic; import Anthropic,,,ai_sdk_import(2_sdk(s)_detected)
anthropic-1.2.0/examples/thinking_stream.py,Python,40,ELEVATED,0,0,import anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/examples/tools_stream.py,Python,40,ELEVATED,0,0,from anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/examples/agents_with_files.py,Python,40,ELEVATED,0,0,from anthropic; import Anthropic,,,ai_sdk_import(2_sdk(s)_detected)
anthropic-1.2.0/examples/batch_results.py,Python,40,ELEVATED,0,0,from anthropic; import Anthropic,,,ai_sdk_import(2_sdk(s)_detected)
anthropic-1.2.0/examples/tools_runner.py,Python,40,ELEVATED,0,0,from anthropic; import Anthropic,,,ai_sdk_import(2_sdk(s)_detected)
anthropic-1.2.0/examples/agents.py,Python,40,ELEVATED,0,0,from anthropic; import Anthropic,,,ai_sdk_import(2_sdk(s)_detected)
anthropic-1.2.0/examples/thinking.py,Python,40,ELEVATED,0,0,import anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/examples/vertex.py,Python,40,ELEVATED,0,0,from anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/examples/tools_runner_search_tool.py,Python,40,ELEVATED,0,0,from anthropic; import Anthropic,,,ai_sdk_import(2_sdk(s)_detected)
anthropic-1.2.0/examples/web_search_stream.py,Python,40,ELEVATED,0,0,from anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/examples/workload_identity.py,Python,40,ELEVATED,0,0,import anthropic; from anthropic,,,ai_sdk_import(2_sdk(s)_detected)
anthropic-1.2.0/examples/messages_stream.py,Python,40,ELEVATED,0,0,from anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/examples/azure.py,Python,40,ELEVATED,0,0,from anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/examples/managed-agents-self-hosted-sandbox-worker.py,Python,40,ELEVATED,0,0,from anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/src/anthropic/_client.py,Python,40,ELEVATED,0,0,http:api.anthropic.com,,,ai_http_endpoint(api.anthropic.com)
anthropic-1.2.0/src/anthropic/_streaming.py,Python,40,ELEVATED,0,0,import Anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/src/anthropic/_response.py,Python,40,ELEVATED,0,0,from anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/src/anthropic/_types.py,Python,40,ELEVATED,0,0,from anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/src/anthropic/resources/beta/sessions/events.py,Python,40,ELEVATED,0,0,from anthropic; import anthropic,,,ai_sdk_import(2_sdk(s)_detected)
anthropic-1.2.0/src/anthropic/resources/beta/environments/work.py,Python,40,ELEVATED,0,0,import anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/src/anthropic/resources/beta/messages/messages.py,Python,40,ELEVATED,0,0,import Anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/src/anthropic/lib/_scoped_client.py,Python,40,ELEVATED,0,0,import Anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/src/anthropic/lib/foundry.py,Python,40,ELEVATED,0,0,import Anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/src/anthropic/lib/environments/_worker.py,Python,40,ELEVATED,0,0,from anthropic; import anthropic,,,ai_sdk_import(2_sdk(s)_detected)
anthropic-1.2.0/src/anthropic/lib/google_cloud/_client.py,Python,40,ELEVATED,0,0,import Anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/src/anthropic/lib/tools/mcp.py,Python,40,ELEVATED,0,0,from anthropic; from mcp,,,ai_sdk_import(2_sdk(s)_detected)
anthropic-1.2.0/src/anthropic/lib/tools/_beta_functions.py,Python,40,ELEVATED,0,0,,function_tool,,agent_orchestration(function_tool)
anthropic-1.2.0/src/anthropic/lib/tools/_beta_builtin_memory_tool.py,Python,40,ELEVATED,0,0,from anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/src/anthropic/lib/credentials/_constants.py,Python,40,ELEVATED,0,0,http:api.anthropic.com,,,ai_http_endpoint(api.anthropic.com)
anthropic-1.2.0/src/anthropic/lib/credentials/_chain.py,Python,40,ELEVATED,0,0,http:api.anthropic.com,,,ai_http_endpoint(api.anthropic.com)
anthropic-1.2.0/src/anthropic/lib/streaming/_beta_messages.py,Python,40,ELEVATED,0,0,from anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/src/anthropic/lib/streaming/_messages.py,Python,40,ELEVATED,0,0,from anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/src/anthropic/lib/bedrock/_client.py,Python,40,ELEVATED,0,0,http:bedrock-runtime,,,ai_http_endpoint(bedrock-runtime)
anthropic-1.2.0/src/anthropic/lib/bedrock/_stream_decoder.py,Python,40,ELEVATED,0,0,http:bedrock-runtime,,,ai_http_endpoint(bedrock-runtime)
anthropic-1.2.0/src/anthropic/lib/bedrock/_stream.py,Python,40,ELEVATED,0,0,import Anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/src/anthropic/lib/aws/_client.py,Python,40,ELEVATED,0,0,import Anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/tests/conftest.py,Python,40,ELEVATED,0,0,from anthropic; import Anthropic,,,ai_sdk_import(2_sdk(s)_detected)
anthropic-1.2.0/tests/utils.py,Python,40,ELEVATED,0,0,from anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/tests/test_extract_files.py,Python,40,ELEVATED,0,0,from anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/tests/test_models.py,Python,40,ELEVATED,0,0,from anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/tests/test_files.py,Python,40,ELEVATED,0,0,from anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/tests/test_transform.py,Python,40,ELEVATED,0,0,from anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/tests/test_streaming.py,Python,40,ELEVATED,0,0,from anthropic; import Anthropic,,,ai_sdk_import(2_sdk(s)_detected)
anthropic-1.2.0/tests/test_qs.py,Python,40,ELEVATED,0,0,from anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/tests/test_response.py,Python,40,ELEVATED,0,0,from anthropic; import Anthropic,,,ai_sdk_import(2_sdk(s)_detected)
anthropic-1.2.0/tests/test_client.py,Python,40,ELEVATED,0,0,from anthropic; import Anthropic,,,ai_sdk_import(2_sdk(s)_detected)
anthropic-1.2.0/tests/test_header_case_sensitivity.py,Python,40,ELEVATED,0,0,from anthropic; import Anthropic,,,ai_sdk_import(2_sdk(s)_detected)
anthropic-1.2.0/tests/test_required_args.py,Python,40,ELEVATED,0,0,from anthropic,,,ai_sdk_import(1_sdk(s)_detected)
anthropic-1.2.0/tests/api_resources/test_models.py,Python,40,ELEVATED,0,0,from anthropic; import Anthropic,,,ai_sdk_import(2_sdk(s)_detected)
anthropic-1.2.0/tests/api_resources/test_files.py,Python,40,ELEVATED,0,0,from anthropic; import Anthropic,,,ai_sdk_import(2_sdk(s)_detected)
