rel_path,language,ais,risk,gss,injection_vectors,sdk_found,agent_patterns,dangerous_exec,signals
backports_zstd-1.7.0/tests/test/test_zipfile/_path/_test_params.py,Python,50,ELEVATED,0,0,,,eval/exec found (1 occurrence(s)),dynamic_execution(eval/exec_x1)
backports_zstd-1.7.0/tests/test/support/__init__.py,Python,50,ELEVATED,0,0,,,eval/exec found (1 occurrence(s)),dynamic_execution(eval/exec_x1)
backports_zstd-1.7.0/tests/test/test_zipfile/test_core.py,Python,40,ELEVATED,0,0,,,subprocess/shell execution with variables (2 occurrence(s)),subprocess_variable_execution(x2)
backports_zstd-1.7.0/tests/test/support/script_helper.py,Python,40,ELEVATED,0,0,,,subprocess/shell execution with variables (1 occurrence(s)),subprocess_variable_execution(x1)
backports_zstd-1.7.0/tests/test/test_zipfile/_path/_support.py,Python,20,NORMAL,0,0,,,,dynamic_import(x1)
backports_zstd-1.7.0/tests/test/support/warnings_helper.py,Python,20,NORMAL,0,0,,,,dynamic_import(x1)
backports_zstd-1.7.0/tests/test/support/import_helper.py,Python,20,NORMAL,0,0,,,,dynamic_import(x6)
backports_zstd-1.7.0/setup.py,Python,0,NORMAL,0,0,,,,
backports_zstd-1.7.0/src/python/backports/zstd/__init__.py,Python,0,NORMAL,0,0,,,,
backports_zstd-1.7.0/src/python/backports/zstd/_zstd.py,Python,0,NORMAL,0,0,,,,
backports_zstd-1.7.0/src/python/backports/zstd/_streams.py,Python,0,NORMAL,0,0,,,,
backports_zstd-1.7.0/src/python/backports/zstd/_zstdfile.py,Python,0,NORMAL,0,0,,,,
backports_zstd-1.7.0/src/python/backports/zstd/tarfile.py,Python,0,NORMAL,0,0,,,,
backports_zstd-1.7.0/src/python/backports/zstd/_shutil.py,Python,0,NORMAL,0,0,,,,
backports_zstd-1.7.0/src/python/backports/zstd/_compat.py,Python,0,NORMAL,0,0,,,,
backports_zstd-1.7.0/src/python/backports/zstd/zipfile/__init__.py,Python,0,NORMAL,0,0,,,,
backports_zstd-1.7.0/src/python/backports/zstd/zipfile/__main__.py,Python,0,NORMAL,0,0,,,,
backports_zstd-1.7.0/src/python/backports/zstd/zipfile/_path/__init__.py,Python,0,NORMAL,0,0,,,,
backports_zstd-1.7.0/src/python/backports/zstd/zipfile/_path/glob.py,Python,0,NORMAL,0,0,,,,
backports_zstd-1.7.0/src/python/backports/zstd/_cffi/__init__.py,Python,0,NORMAL,0,0,,,,
backports_zstd-1.7.0/src/python/backports/zstd/_cffi/_common.py,Python,0,NORMAL,0,0,,,,
backports_zstd-1.7.0/src/python/backports/zstd/_cffi/decompressor.py,Python,0,NORMAL,0,0,,,,
backports_zstd-1.7.0/src/python/backports/zstd/_cffi/buffer.py,Python,0,NORMAL,0,0,,,,
backports_zstd-1.7.0/src/python/backports/zstd/_cffi/zstddict.py,Python,0,NORMAL,0,0,,,,
backports_zstd-1.7.0/src/python/backports/zstd/_cffi/_blocks_output_buffer.py,Python,0,NORMAL,0,0,,,,
backports_zstd-1.7.0/src/python/backports/zstd/_cffi/compressor.py,Python,0,NORMAL,0,0,,,,
backports_zstd-1.7.0/src/c/compression_zstd/_zstdmodule.h,C++,0,NORMAL,0,0,,,,
backports_zstd-1.7.0/src/c/compression_zstd/buffer.h,C++,0,NORMAL,0,0,,,,
backports_zstd-1.7.0/src/c/compression_zstd/zstddict.h,C++,0,NORMAL,0,0,,,,
backports_zstd-1.7.0/src/c/compression_zstd/clinic/_zstdmodule.c.h,C++,0,NORMAL,0,0,,,,
backports_zstd-1.7.0/src/c/compression_zstd/clinic/decompressor.c.h,C++,0,NORMAL,0,0,,,,
backports_zstd-1.7.0/src/c/compression_zstd/clinic/zstddict.c.h,C++,0,NORMAL,0,0,,,,
