rel_path,language,ais,risk,gss,injection_vectors,sdk_found,agent_patterns,dangerous_exec,signals
crewai-1.15.18/src/crewai/__init__.py,Python,100,HIGH,0,0,from crewai; import crewai,crewai; AgentExecutor,,"ai_sdk_import(2_sdk(s)_detected); agent_orchestration(crewai,AgentExecutor); dynamic_import(x1)"
crewai-1.15.18/src/crewai/llm.py,Python,100,HIGH,0,4,from crewai; import litellm; from litellm; from Anthropic,crewai,,ai_sdk_import(4_sdk(s)_detected); agent_orchestration(crewai); prompt_injection_vectors(4_unsanitised_inputs)
crewai-1.15.18/src/crewai/lite_agent.py,Python,100,HIGH,0,3,from crewai,crewai,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(crewai); prompt_injection_vectors(3_unsanitised_inputs)
crewai-1.15.18/src/crewai/project/json_loader.py,Python,100,HIGH,0,0,from crewai,crewai,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(crewai); dynamic_import(x2)
crewai-1.15.18/src/crewai/experimental/agent_executor.py,Python,100,HIGH,0,9,from crewai,crewai; AgentExecutor; crew (,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(crewai,AgentExecutor); prompt_injection_vectors(9_unsanitised_inputs)"
crewai-1.15.18/src/crewai/experimental/evaluation/metrics/tools_metrics.py,Python,100,HIGH,0,3,from crewai,crewai,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(crewai); prompt_injection_vectors(3_unsanitised_inputs)
crewai-1.15.18/src/crewai/llms/cache.py,Python,100,HIGH,0,3,from crewai,crewai,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(crewai); prompt_injection_vectors(3_unsanitised_inputs)
crewai-1.15.18/src/crewai/llms/providers/azure/completion.py,Python,100,HIGH,0,3,from crewai; from azure.ai.inference; http:openai.azure.com,crewai; CrewAI,,"ai_sdk_import(2_sdk(s)_detected); ai_http_endpoint(openai.azure.com); agent_orchestration(crewai,CrewAI); prompt_injection_vectors(3_unsanitised_inputs)"
crewai-1.15.18/src/crewai/llms/providers/anthropic/completion.py,Python,100,HIGH,0,12,from crewai; from anthropic; import Anthropic; from Anthropic,crewai; CrewAI,,"ai_sdk_import(4_sdk(s)_detected); agent_orchestration(crewai,CrewAI); prompt_injection_vectors(12_unsanitised_inputs)"
crewai-1.15.18/src/crewai/llms/providers/bedrock/completion.py,Python,100,HIGH,0,5,from crewai; from OpenAI; http:bedrock-runtime,crewai; CrewAI,,"ai_sdk_import(2_sdk(s)_detected); ai_http_endpoint(bedrock-runtime); agent_orchestration(crewai,CrewAI); prompt_injection_vectors(5_unsanitised_inputs)"
crewai-1.15.18/src/crewai/agents/crew_agent_executor.py,Python,100,HIGH,0,5,from crewai,crewai; AgentExecutor,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(crewai,AgentExecutor); prompt_injection_vectors(5_unsanitised_inputs)"
crewai-1.15.18/src/crewai/agents/agent_builder/base_agent.py,Python,100,HIGH,0,0,from crewai,crewai; AgentExecutor; CrewAI; crew (,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(crewai,AgentExecutor); dynamic_import(x2)"
crewai-1.15.18/src/crewai/memory/__init__.py,Python,100,HIGH,0,0,import crewai; from crewai,crewai,,ai_sdk_import(2_sdk(s)_detected); agent_orchestration(crewai); dynamic_import(x1)
crewai-1.15.18/src/crewai/memory/analyze.py,Python,100,HIGH,0,9,from crewai,crewai,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(crewai); prompt_injection_vectors(9_unsanitised_inputs)
crewai-1.15.18/src/crewai/events/__init__.py,Python,100,HIGH,0,0,from crewai,CrewAI; crewai,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(CrewAI,crewai); dynamic_import(x3)"
crewai-1.15.18/src/crewai/events/types/task_events.py,Python,100,HIGH,0,0,from crewai,crewai,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(crewai); dynamic_import(x1)
crewai-1.15.18/src/crewai/utilities/crew_chat.py,Python,100,HIGH,0,7,from crewai,CrewAI; crewai; crewAI,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(CrewAI,crewai); dynamic_import(x1); prompt_injection_vectors(7_unsanitised_inputs)"
crewai-1.15.18/src/crewai/utilities/reasoning_handler.py,Python,100,HIGH,0,8,from crewai,crewai,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(crewai); prompt_injection_vectors(8_unsanitised_inputs)
crewai-1.15.18/src/crewai/utilities/agent_utils.py,Python,100,HIGH,0,8,from crewai,crewai; AgentExecutor; CrewAI,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(crewai,AgentExecutor); dynamic_import(x1); prompt_injection_vectors(8_unsanitised_inputs)"
crewai-1.15.18/src/crewai/tools/base_tool.py,Python,100,HIGH,0,0,from crewai,crewai,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(crewai); dynamic_import(x1)
crewai-1.15.18/src/crewai/rag/__init__.py,Python,100,HIGH,0,0,from crewai,CrewAI; crewai,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(CrewAI,crewai); dynamic_import(x1)"
crewai-1.15.18/src/crewai/flow/conversational_mixin.py,Python,100,HIGH,0,6,from crewai,crewai,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(crewai); prompt_injection_vectors(6_unsanitised_inputs)
crewai-1.15.18/src/crewai/flow/conversation.py,Python,100,HIGH,0,3,from crewai,CrewAI; crewai,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(CrewAI,crewai); prompt_injection_vectors(3_unsanitised_inputs)"
crewai-1.15.18/src/crewai/flow/human_feedback.py,Python,100,HIGH,0,4,from crewai,CrewAI; crewai,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(CrewAI,crewai); prompt_injection_vectors(4_unsanitised_inputs)"
crewai-1.15.18/src/crewai/flow/runtime/_actions.py,Python,100,HIGH,0,0,from crewai,crewai,eval/exec found (1 occurrence(s)),ai_sdk_import(1_sdk(s)_detected); agent_orchestration(crewai); dynamic_execution(eval/exec_x1)
crewai-1.15.18/src/crewai/mcp/__init__.py,Python,100,HIGH,0,0,from crewai,CrewAI; crewai,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(CrewAI,crewai); dynamic_import(x1)"
