rel_path,language,ais,risk,gss,injection_vectors,sdk_found,agent_patterns,dangerous_exec,signals
django-6.1/django/db/migrations/questioner.py,Python,70,HIGH,0,0,,,eval/exec found (1 occurrence(s)),dynamic_execution(eval/exec_x1); dynamic_import(x1)
django-6.1/tests/view_tests/tests/test_debug.py,Python,70,HIGH,0,0,,,eval/exec found (2 occurrence(s)),dynamic_execution(eval/exec_x2); dynamic_import(x1)
django-6.1/django/template/defaulttags.py,Python,50,ELEVATED,0,0,,,eval/exec found (2 occurrence(s)),dynamic_execution(eval/exec_x2)
django-6.1/django/template/smartif.py,Python,50,ELEVATED,0,0,,,eval/exec found (16 occurrence(s)),dynamic_execution(eval/exec_x16)
django-6.1/django/core/management/commands/shell.py,Python,50,ELEVATED,0,0,,,eval/exec found (3 occurrence(s)),dynamic_execution(eval/exec_x3)
django-6.1/tests/deprecation/test_warn_about_external_use.py,Python,50,ELEVATED,0,0,,,eval/exec found (2 occurrence(s)),dynamic_execution(eval/exec_x2)
django-6.1/tests/template_tests/test_smartif.py,Python,50,ELEVATED,0,0,,,eval/exec found (4 occurrence(s)),dynamic_execution(eval/exec_x4)
django-6.1/tests/migrations/test_writer.py,Python,50,ELEVATED,0,0,,,eval/exec found (1 occurrence(s)),dynamic_execution(eval/exec_x1)
django-6.1/django/contrib/admin/utils.py,Python,40,ELEVATED,0,0,,add_edge(,,agent_orchestration(add_edge()
django-6.1/django/utils/autoreload.py,Python,40,ELEVATED,0,0,,,subprocess/shell execution with variables (1 occurrence(s)),subprocess_variable_execution(x1)
django-6.1/django/test/runner.py,Python,40,ELEVATED,0,0,,runner.run,,agent_orchestration(runner.run)
django-6.1/django/db/models/sql/compiler.py,Python,40,ELEVATED,0,0,,result_type=,,agent_orchestration(result_type=)
django-6.1/django/db/backends/mysql/creation.py,Python,40,ELEVATED,0,0,,,subprocess/shell execution with variables (1 occurrence(s)),subprocess_variable_execution(x1)
django-6.1/django/db/backends/mysql/client.py,Python,40,ELEVATED,0,0,,,subprocess/shell execution with variables (1 occurrence(s)),subprocess_variable_execution(x1)
django-6.1/django/db/backends/base/client.py,Python,40,ELEVATED,0,0,,,subprocess/shell execution with variables (1 occurrence(s)),subprocess_variable_execution(x1)
django-6.1/django/db/migrations/loader.py,Python,40,ELEVATED,0,0,,add_node(,,agent_orchestration(add_node()
django-6.1/django/db/migrations/graph.py,Python,40,ELEVATED,0,0,,add_node(,,agent_orchestration(add_node()
django-6.1/tests/runtests.py,Python,40,ELEVATED,0,0,,,subprocess/shell execution with variables (3 occurrence(s)),subprocess_variable_execution(x3)
django-6.1/tests/test_runner/tests.py,Python,40,ELEVATED,0,0,,runner.run,,agent_orchestration(runner.run)
django-6.1/tests/test_utils/tests.py,Python,40,ELEVATED,0,0,,runner.run,,agent_orchestration(runner.run)
django-6.1/tests/dbshell/test_postgresql.py,Python,40,ELEVATED,0,0,,,subprocess/shell execution with variables (1 occurrence(s)),subprocess_variable_execution(x1)
django-6.1/tests/dbshell/test_mysql.py,Python,40,ELEVATED,0,0,,,subprocess/shell execution with variables (1 occurrence(s)),subprocess_variable_execution(x1)
django-6.1/tests/migrations/test_executor.py,Python,40,ELEVATED,0,0,,add_node(,,agent_orchestration(add_node()
django-6.1/tests/migrations/test_graph.py,Python,40,ELEVATED,0,0,,add_node(,,agent_orchestration(add_node()
django-6.1/tests/migrations/test_loader.py,Python,40,ELEVATED,0,0,,,subprocess/shell execution with variables (1 occurrence(s)),subprocess_variable_execution(x1)
