rel_path,language,ais,risk,gss,injection_vectors,sdk_found,agent_patterns,dangerous_exec,signals
dspy-3.3.1/dspy/clients/databricks.py,Python,98,HIGH,0,1,from dspy; from openai; import OpenAI,hand_rolled_loop,,ai_sdk_import(3_sdk(s)_detected); agent_loop(ai_call_inside_loop); cost_risk(ai_calls_inside_loop); prompt_injection_partial(1)
dspy-3.3.1/dspy/clients/base_lm.py,Python,78,HIGH,0,1,from dspy; import dspy; from openai; import OpenAI; from LiteLLM,,,ai_sdk_import(5_sdk(s)_detected); dynamic_import(x1); prompt_injection_partial(1)
dspy-3.3.1/dspy/core/types.py,Python,75,HIGH,0,3,import dspy; from dspy,,,ai_sdk_import(2_sdk(s)_detected); prompt_injection_vectors(3_unsanitised_inputs)
dspy-3.3.1/dspy/teleprompt/grpo.py,Python,75,HIGH,0,3,from dspy,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_vectors(3_unsanitised_inputs)
dspy-3.3.1/dspy/adapters/two_step_adapter.py,Python,75,HIGH,0,3,from dspy; import dspy,,,ai_sdk_import(2_sdk(s)_detected); prompt_injection_vectors(3_unsanitised_inputs)
dspy-3.3.1/dspy/adapters/base.py,Python,75,HIGH,0,24,from dspy; from DSPy,,,ai_sdk_import(2_sdk(s)_detected); prompt_injection_vectors(24_unsanitised_inputs)
dspy-3.3.1/dspy/signatures/signature.py,Python,60,ELEVATED,0,0,from dspy; import dspy,,,ai_sdk_import(2_sdk(s)_detected); dynamic_import(x1)
dspy-3.3.1/dspy/predict/rlm.py,Python,58,ELEVATED,0,1,import dspy; from dspy,,,ai_sdk_import(2_sdk(s)_detected); prompt_injection_partial(1)
dspy-3.3.1/dspy/utils/dummies.py,Python,58,ELEVATED,0,1,from dspy,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_partial(1)
dspy-3.3.1/dspy/adapters/chat_adapter.py,Python,58,ELEVATED,0,2,from dspy,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_partial(2)
dspy-3.3.1/dspy/adapters/_legacy_type_markers.py,Python,58,ELEVATED,0,1,from dspy,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_partial(1)
dspy-3.3.1/dspy/adapters/types/reasoning.py,Python,58,ELEVATED,0,2,from dspy; from DSPy,,,ai_sdk_import(2_sdk(s)_detected); prompt_injection_partial(2)
