rel_path,language,ais,risk,gss,injection_vectors,sdk_found,agent_patterns,dangerous_exec,signals
fastmcp-4.0.0/tests/test_upgrade_from_v3.py,Python,100,HIGH,0,0,from fastmcp; import fastmcp; from mcp; import mcp,function_tool,,ai_sdk_import(4_sdk(s)_detected); agent_orchestration(function_tool); dynamic_import(x2)
fastmcp-4.0.0/tests/experimental/transforms/test_code_mode.py,Python,100,HIGH,0,0,from fastmcp,,eval/exec found (2 occurrence(s)),ai_sdk_import(1_sdk(s)_detected); dynamic_execution(eval/exec_x2); dynamic_import(x1)
fastmcp-4.0.0/fastmcp_slim/fastmcp/experimental/transforms/code_mode.py,Python,100,HIGH,0,0,from fastmcp,,eval/exec found (1 occurrence(s)),ai_sdk_import(1_sdk(s)_detected); dynamic_execution(eval/exec_x1); dynamic_import(x1)
fastmcp-4.0.0/fastmcp_slim/fastmcp/server/server.py,Python,100,HIGH,0,3,from mcp; import fastmcp; from fastmcp; from MCP; import FastMCP,function_tool,,ai_sdk_import(5_sdk(s)_detected); agent_orchestration(function_tool); prompt_injection_vectors(3_unsanitised_inputs)
fastmcp-4.0.0/fastmcp_slim/fastmcp/server/providers/filesystem_discovery.py,Python,100,HIGH,0,0,from fastmcp,function_tool,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(function_tool); dynamic_import(x2)
fastmcp-4.0.0/fastmcp_slim/fastmcp/server/providers/local_provider/decorators/tools.py,Python,98,HIGH,0,1,from fastmcp; from FastMCP,function_tool,,ai_sdk_import(2_sdk(s)_detected); agent_orchestration(function_tool); prompt_injection_partial(1)
fastmcp-4.0.0/tests/experimental/transforms/test_code_mode_discovery.py,Python,90,HIGH,0,0,from fastmcp; import FastMCP,,eval/exec found (2 occurrence(s)),ai_sdk_import(2_sdk(s)_detected); dynamic_execution(eval/exec_x2)
fastmcp-4.0.0/tests/docs/test_upgrade_guide_equivalence.py,Python,90,HIGH,0,0,from fastmcp,,eval/exec found (1 occurrence(s)),ai_sdk_import(1_sdk(s)_detected); dynamic_execution(eval/exec_x1)
fastmcp-4.0.0/tests/docs/test_upgrade_guide_examples.py,Python,90,HIGH,0,0,import fastmcp,,eval/exec found (1 occurrence(s)),ai_sdk_import(1_sdk(s)_detected); dynamic_execution(eval/exec_x1)
fastmcp-4.0.0/examples/memory.py,Python,80,HIGH,0,0,from openai; from pydantic_ai; import fastmcp; from fastmcp; import FastMCP,result_type=; agent.run(,,"ai_sdk_import(5_sdk(s)_detected); agent_orchestration(result_type=,agent.run()"
fastmcp-4.0.0/tests/test_json_schema_generation.py,Python,80,HIGH,0,0,from FastMCP; from fastmcp,function_tool,,ai_sdk_import(2_sdk(s)_detected); agent_orchestration(function_tool)
fastmcp-4.0.0/tests/client/test_client_extensions.py,Python,80,HIGH,0,0,from mcp; from fastmcp; import FastMCP,result_type=,,ai_sdk_import(3_sdk(s)_detected); agent_orchestration(result_type=)
fastmcp-4.0.0/tests/conformance/server.py,Python,80,HIGH,0,0,from mcp; from fastmcp; import FastMCP,function_tool,,ai_sdk_import(3_sdk(s)_detected); agent_orchestration(function_tool)
fastmcp-4.0.0/tests/tasks/server/test_task_tools.py,Python,80,HIGH,0,0,import fastmcp; from fastmcp; import FastMCP,function_tool,,ai_sdk_import(3_sdk(s)_detected); agent_orchestration(function_tool)
fastmcp-4.0.0/tests/tasks/server/test_sync_function_task_disabled.py,Python,80,HIGH,0,0,from fastmcp; import FastMCP,function_tool,,ai_sdk_import(2_sdk(s)_detected); agent_orchestration(function_tool)
fastmcp-4.0.0/tests/tools/test_tool_run_in_thread.py,Python,80,HIGH,0,0,from fastmcp,function_tool,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(function_tool)
fastmcp-4.0.0/tests/tools/test_standalone_decorator.py,Python,80,HIGH,0,0,from fastmcp; import FastMCP; import fastmcp,function_tool,,ai_sdk_import(3_sdk(s)_detected); agent_orchestration(function_tool)
fastmcp-4.0.0/tests/tools/tool_transform/test_args.py,Python,80,HIGH,0,0,from fastmcp; import FastMCP,function_tool,,ai_sdk_import(2_sdk(s)_detected); agent_orchestration(function_tool)
fastmcp-4.0.0/tests/tools/tool_transform/test_schemas.py,Python,80,HIGH,0,0,from fastmcp,function_tool,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(function_tool)
fastmcp-4.0.0/tests/tools/tool_transform/test_tool_transform.py,Python,80,HIGH,0,0,from fastmcp; import FastMCP,function_tool,,ai_sdk_import(2_sdk(s)_detected); agent_orchestration(function_tool)
fastmcp-4.0.0/tests/tools/tool_transform/test_metadata.py,Python,80,HIGH,0,0,from fastmcp,function_tool,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(function_tool)
fastmcp-4.0.0/tests/server/test_extensions.py,Python,80,HIGH,0,0,from mcp; from fastmcp; import FastMCP,result_type=,,ai_sdk_import(3_sdk(s)_detected); agent_orchestration(result_type=)
fastmcp-4.0.0/tests/server/test_mrtr_guards.py,Python,80,HIGH,0,0,from mcp; from fastmcp,function_tool,,ai_sdk_import(2_sdk(s)_detected); agent_orchestration(function_tool)
fastmcp-4.0.0/tests/server/providers/local_provider_tools/test_output_schema.py,Python,80,HIGH,0,0,from fastmcp; import FastMCP,function_tool,,ai_sdk_import(2_sdk(s)_detected); agent_orchestration(function_tool)
fastmcp-4.0.0/tests/server/providers/local_provider_tools/test_decorator.py,Python,80,HIGH,0,0,from fastmcp; import FastMCP,function_tool,,ai_sdk_import(2_sdk(s)_detected); agent_orchestration(function_tool)
fastmcp-4.0.0/tests/server/middleware/test_tool_injection.py,Python,80,HIGH,0,0,from fastmcp; import FastMCP,function_tool,,ai_sdk_import(2_sdk(s)_detected); agent_orchestration(function_tool)
fastmcp-4.0.0/fastmcp_tasks/fastmcp_tasks/components.py,Python,80,HIGH,0,0,from fastmcp,function_tool,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(function_tool)
fastmcp-4.0.0/fastmcp_tasks/fastmcp_tasks/creation.py,Python,80,HIGH,0,0,from mcp; from fastmcp; import FastMCP,function_tool,,ai_sdk_import(3_sdk(s)_detected); agent_orchestration(function_tool)
fastmcp-4.0.0/fastmcp_slim/fastmcp/decorators.py,Python,80,HIGH,0,0,from fastmcp,function_tool,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(function_tool)
fastmcp-4.0.0/fastmcp_slim/fastmcp/tools/base.py,Python,80,HIGH,0,0,from mcp; from fastmcp,function_tool,,ai_sdk_import(2_sdk(s)_detected); agent_orchestration(function_tool)
