rel_path,language,ais,risk,gss,injection_vectors,sdk_found,agent_patterns,dangerous_exec,signals
gradio-6.26.0/gradio/tunneling.py,Python,80,HIGH,0,0,from huggingface_hub,,subprocess/shell execution with variables (1 occurrence(s)),ai_sdk_import(1_sdk(s)_detected); subprocess_variable_execution(x1)
gradio-6.26.0/gradio/cli/commands/deploy_space.py,Python,80,HIGH,0,0,import huggingface_hub,,subprocess/shell execution with variables (1 occurrence(s)),ai_sdk_import(1_sdk(s)_detected); subprocess_variable_execution(x1)
gradio-6.26.0/gradio/workflow.py,Python,75,HIGH,0,3,from huggingface_hub; import huggingface_hub; http:api-inference.huggingface.co,,,ai_sdk_import(2_sdk(s)_detected); ai_http_endpoint(api-inference.huggingface.co); prompt_injection_vectors(3_unsanitised_inputs)
gradio-6.26.0/gradio/routes.py,Python,75,HIGH,0,6,from huggingface_hub,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_vectors(6_unsanitised_inputs)
gradio-6.26.0/js/_website/generate_jsons/embed.py,Python,75,HIGH,0,3,from openai; import OpenAI; import voyageai,,,ai_sdk_import(3_sdk(s)_detected); prompt_injection_vectors(3_unsanitised_inputs)
gradio-6.26.0/gradio/cli/commands/components/build.py,Python,60,ELEVATED,0,0,,,subprocess/shell execution with variables (2 occurrence(s)),subprocess_variable_execution(x2); dynamic_import(x1)
gradio-6.26.0/gradio/cli/commands/components/install_component.py,Python,60,ELEVATED,0,0,,,subprocess/shell execution with variables (2 occurrence(s)),subprocess_variable_execution(x2); dynamic_import(x2)
gradio-6.26.0/gradio/external.py,Python,58,ELEVATED,0,2,import huggingface_hub; from huggingface_hub; from openai; import OpenAI; http:api-inference.huggingface.co,,,ai_sdk_import(4_sdk(s)_detected); ai_http_endpoint(api-inference.huggingface.co); prompt_injection_partial(2)
gradio-6.26.0/gradio/external_utils.py,Python,58,ELEVATED,0,1,from huggingface_hub,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_partial(1)
gradio-6.26.0/gradio/components/html.py,Python,58,ELEVATED,0,2,from huggingface_hub,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_partial(2)
