rel_path,language,ais,risk,gss,injection_vectors,sdk_found,agent_patterns,dangerous_exec,signals
huggingface_hub-1.29.0/src/huggingface_hub/hub_mixin.py,Python,90,HIGH,0,0,from huggingface_hub,,eval/exec found (3 occurrence(s)),ai_sdk_import(1_sdk(s)_detected); dynamic_execution(eval/exec_x3)
huggingface_hub-1.29.0/tests/test_utils_typing.py,Python,90,HIGH,0,0,from huggingface_hub,,eval/exec found (2 occurrence(s)),ai_sdk_import(1_sdk(s)_detected); dynamic_execution(eval/exec_x2)
huggingface_hub-1.29.0/src/huggingface_hub/cli/_cli_utils.py,Python,80,HIGH,0,0,from huggingface_hub,,subprocess/shell execution with variables (2 occurrence(s)),ai_sdk_import(1_sdk(s)_detected); subprocess_variable_execution(x2)
huggingface_hub-1.29.0/src/huggingface_hub/cli/extensions.py,Python,80,HIGH,0,0,from huggingface_hub,,subprocess/shell execution with variables (2 occurrence(s)),ai_sdk_import(1_sdk(s)_detected); subprocess_variable_execution(x2)
huggingface_hub-1.29.0/src/huggingface_hub/cli/system.py,Python,80,HIGH,0,0,from huggingface_hub,,subprocess/shell execution with variables (1 occurrence(s)),ai_sdk_import(1_sdk(s)_detected); subprocess_variable_execution(x1)
huggingface_hub-1.29.0/src/huggingface_hub/cli/spaces.py,Python,80,HIGH,0,0,from huggingface_hub,,subprocess/shell execution with variables (1 occurrence(s)),ai_sdk_import(1_sdk(s)_detected); subprocess_variable_execution(x1)
huggingface_hub-1.29.0/tests/test_inference_client.py,Python,80,HIGH,0,0,from huggingface_hub; http:api-inference.huggingface.co,hand_rolled_loop,,ai_sdk_import(1_sdk(s)_detected); ai_http_endpoint(api-inference.huggingface.co); agent_loop(ai_call_inside_loop); cost_risk(ai_calls_inside_loop)
huggingface_hub-1.29.0/src/huggingface_hub/inference/_mcp/mcp_client.py,Python,75,HIGH,0,4,from mcp,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_vectors(4_unsanitised_inputs)
huggingface_hub-1.29.0/src/huggingface_hub/__init__.py,Python,60,ELEVATED,0,0,from huggingface_hub,,,ai_sdk_import(1_sdk(s)_detected); dynamic_import(x2)
huggingface_hub-1.29.0/src/huggingface_hub/repocard.py,Python,58,ELEVATED,0,1,from huggingface_hub,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_partial(1)
