rel_path,language,ais,risk,gss,injection_vectors,sdk_found,agent_patterns,dangerous_exec,signals
langchain_core-1.6.1/langchain_core/callbacks/manager.py,Python,80,HIGH,0,0,from LangChain,runner.run,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(runner.run)
langchain_core-1.6.1/langchain_core/runnables/base.py,Python,80,HIGH,0,0,import OpenAI,add_node(; add_edge(; CompiledGraph,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(add_node(,add_edge()"
langchain_core-1.6.1/langchain_core/messages/block_translators/openai.py,Python,58,ELEVATED,0,2,from OpenAI,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_partial(2)
langchain_core-1.6.1/tests/unit_tests/test_tools.py,Python,40,ELEVATED,0,0,,StateGraph,,agent_orchestration(StateGraph)
langchain_core-1.6.1/tests/unit_tests/utils/test_gateway.py,Python,40,ELEVATED,0,0,http:api.openai.com,,,ai_http_endpoint(api.openai.com)
langchain_core-1.6.1/tests/unit_tests/language_models/test_compat_bridge.py,Python,40,ELEVATED,0,0,from Anthropic,,,ai_sdk_import(1_sdk(s)_detected)
langchain_core-1.6.1/tests/unit_tests/language_models/chat_models/test_rate_limiting.py,Python,40,ELEVATED,0,0,,hand_rolled_loop,,agent_loop(ai_call_inside_loop); cost_risk(ai_calls_inside_loop)
langchain_core-1.6.1/tests/unit_tests/language_models/chat_models/test_benchmark.py,Python,40,ELEVATED,0,0,,hand_rolled_loop,,agent_loop(ai_call_inside_loop); cost_risk(ai_calls_inside_loop)
langchain_core-1.6.1/tests/unit_tests/runnables/test_graph.py,Python,40,ELEVATED,0,0,,add_node(; add_edge(,,"agent_orchestration(add_node(,add_edge()"
langchain_core-1.6.1/tests/unit_tests/runnables/test_utils.py,Python,40,ELEVATED,0,0,,agent.invoke(,,agent_orchestration(agent.invoke()
langchain_core-1.6.1/langchain_core/rate_limiters.py,Python,40,ELEVATED,0,0,,hand_rolled_loop,,agent_loop(ai_call_inside_loop); cost_risk(ai_calls_inside_loop)
langchain_core-1.6.1/langchain_core/stores.py,Python,40,ELEVATED,0,0,from langchain,,,ai_sdk_import(1_sdk(s)_detected)
langchain_core-1.6.1/langchain_core/output_parsers/openai_tools.py,Python,40,ELEVATED,0,0,from OpenAI,,,ai_sdk_import(1_sdk(s)_detected)
langchain_core-1.6.1/langchain_core/callbacks/usage.py,Python,40,ELEVATED,0,0,from langchain,,,ai_sdk_import(1_sdk(s)_detected)
langchain_core-1.6.1/langchain_core/messages/content.py,Python,40,ELEVATED,0,0,from OpenAI,,,ai_sdk_import(1_sdk(s)_detected)
