rel_path,language,ais,risk,gss,injection_vectors,sdk_found,agent_patterns,dangerous_exec,signals
langchain-1.3.18/langchain/agents/factory.py,Python,100,HIGH,0,0,from langchain,StateGraph; add_edge(,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(StateGraph,add_edge(); dynamic_import(x1)"
langchain-1.3.18/langchain/agents/middleware/tool_selection.py,Python,98,HIGH,0,2,from langchain,hand_rolled_loop,,ai_sdk_import(1_sdk(s)_detected); agent_loop(ai_call_inside_loop); cost_risk(ai_calls_inside_loop); prompt_injection_partial(2)
langchain-1.3.18/tests/unit_tests/agents/test_react_agent.py,Python,98,HIGH,0,1,from langchain,StateGraph; agent.invoke(; add_node(; add_edge(,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(StateGraph,agent.invoke(); prompt_injection_partial(1)"
langchain-1.3.18/tests/unit_tests/agents/middleware/implementations/test_tool_retry.py,Python,98,HIGH,0,2,from langchain,agent.invoke(,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(agent.invoke(); prompt_injection_partial(2)
langchain-1.3.18/tests/unit_tests/agents/middleware/implementations/test_tool_emulator.py,Python,90,HIGH,0,0,from langchain,,eval/exec found (1 occurrence(s)),ai_sdk_import(1_sdk(s)_detected); dynamic_execution(eval/exec_x1)
langchain-1.3.18/tests/unit_tests/agents/test_create_agent_tool_validation.py,Python,80,HIGH,0,0,from langchain,agent.invoke(,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(agent.invoke()
langchain-1.3.18/tests/unit_tests/agents/test_subagent_transformer.py,Python,80,HIGH,0,0,from langchain,StateGraph,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(StateGraph)
langchain-1.3.18/tests/unit_tests/agents/test_state_schema.py,Python,80,HIGH,0,0,from langchain,agent.invoke(,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(agent.invoke()
langchain-1.3.18/tests/unit_tests/agents/middleware/implementations/test_summarization.py,Python,80,HIGH,0,0,from langchain,hand_rolled_loop,,ai_sdk_import(1_sdk(s)_detected); agent_loop(ai_call_inside_loop); cost_risk(ai_calls_inside_loop)
langchain-1.3.18/tests/unit_tests/agents/middleware/implementations/test_model_call_limit.py,Python,80,HIGH,0,0,from langchain,agent.invoke(,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(agent.invoke()
langchain-1.3.18/tests/unit_tests/agents/middleware/core/test_tools.py,Python,80,HIGH,0,0,from langchain,agent.invoke(,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(agent.invoke()
langchain-1.3.18/tests/integration_tests/agents/middleware/test_human_in_the_loop_integration.py,Python,80,HIGH,0,0,from langchain,agent.invoke(,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(agent.invoke()
langchain-1.3.18/langchain/agents/middleware/pii.py,Python,75,HIGH,0,3,from langchain,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_vectors(3_unsanitised_inputs)
langchain-1.3.18/langchain/chat_models/base.py,Python,60,ELEVATED,0,0,from langchain,,,ai_sdk_import(1_sdk(s)_detected); dynamic_import(x1)
langchain-1.3.18/tests/integration_tests/embeddings/test_base.py,Python,60,ELEVATED,0,0,from langchain,,,ai_sdk_import(1_sdk(s)_detected); dynamic_import(x1)
langchain-1.3.18/langchain/agents/middleware/context_editing.py,Python,58,ELEVATED,0,1,from langchain,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_partial(1)
langchain-1.3.18/langchain/agents/middleware/provider_tool_search.py,Python,58,ELEVATED,0,1,from langchain,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_partial(1)
langchain-1.3.18/langchain/agents/middleware/tool_error.py,Python,58,ELEVATED,0,1,from langchain,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_partial(1)
langchain-1.3.18/langchain/agents/middleware/model_fallback.py,Python,58,ELEVATED,0,2,from langchain,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_partial(2)
langchain-1.3.18/tests/unit_tests/agents/middleware/implementations/test_tool_error.py,Python,58,ELEVATED,0,2,from langchain,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_partial(2)
langchain-1.3.18/tests/unit_tests/agents/middleware/core/test_wrap_tool_call.py,Python,58,ELEVATED,0,2,from langchain,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_partial(2)
langchain-1.3.18/langchain/agents/__init__.py,Python,40,ELEVATED,0,0,from langchain,,,ai_sdk_import(1_sdk(s)_detected)
langchain-1.3.18/langchain/agents/middleware/__init__.py,Python,40,ELEVATED,0,0,from langchain,,,ai_sdk_import(1_sdk(s)_detected)
langchain-1.3.18/langchain/agents/middleware/tool_retry.py,Python,40,ELEVATED,0,0,from langchain,,,ai_sdk_import(1_sdk(s)_detected)
langchain-1.3.18/langchain/agents/middleware/tool_call_limit.py,Python,40,ELEVATED,0,0,from langchain,,,ai_sdk_import(1_sdk(s)_detected)
langchain-1.3.18/langchain/agents/middleware/shell_tool.py,Python,40,ELEVATED,0,0,from langchain,,,ai_sdk_import(1_sdk(s)_detected)
langchain-1.3.18/langchain/agents/middleware/todo.py,Python,40,ELEVATED,0,0,from langchain,,,ai_sdk_import(1_sdk(s)_detected)
langchain-1.3.18/langchain/agents/middleware/model_call_limit.py,Python,40,ELEVATED,0,0,from langchain,,,ai_sdk_import(1_sdk(s)_detected)
langchain-1.3.18/langchain/agents/middleware/file_search.py,Python,40,ELEVATED,0,0,from langchain,,,ai_sdk_import(1_sdk(s)_detected)
langchain-1.3.18/langchain/agents/middleware/types.py,Python,40,ELEVATED,0,0,from langchain,,,ai_sdk_import(1_sdk(s)_detected)
langchain-1.3.18/langchain/agents/middleware/human_in_the_loop.py,Python,40,ELEVATED,0,0,from langchain,,,ai_sdk_import(1_sdk(s)_detected)
langchain-1.3.18/langchain/agents/middleware/_execution.py,Python,40,ELEVATED,0,0,,,subprocess/shell execution with variables (1 occurrence(s)),subprocess_variable_execution(x1)
langchain-1.3.18/langchain/agents/middleware/summarization.py,Python,40,ELEVATED,0,0,from langchain,,,ai_sdk_import(1_sdk(s)_detected)
