rel_path,language,ais,risk,gss,injection_vectors,sdk_found,agent_patterns,dangerous_exec,signals
mlflow_tracing-3.15.2/mlflow/langchain/databricks_dependencies.py,Python,100,HIGH,0,0,from Langchain,create_react_agent,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(create_react_agent); dynamic_import(x1)
mlflow_tracing-3.15.2/mlflow/langchain/utils/logging.py,Python,100,HIGH,0,0,from langchain,AgentExecutor; initialize_agent,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(AgentExecutor,initialize_agent); dynamic_import(x3)"
mlflow_tracing-3.15.2/mlflow/agno/__init__.py,Python,100,HIGH,0,0,from Agno,agno.agent,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(agno.agent); dynamic_import(x1)
mlflow_tracing-3.15.2/mlflow/crewai/__init__.py,Python,100,HIGH,0,0,from CrewAI; import crewai,crewai; CrewAI,,"ai_sdk_import(2_sdk(s)_detected); agent_orchestration(crewai,CrewAI); dynamic_import(x2)"
mlflow_tracing-3.15.2/mlflow/langchain/chat_agent_langgraph.py,Python,98,HIGH,0,2,"from
      LangChain",create_react_agent; StateGraph; create_tool_calling_agent,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(create_react_agent,StateGraph); prompt_injection_partial(2)"
mlflow_tracing-3.15.2/mlflow/langchain/_compat.py,Python,80,HIGH,0,0,from langchain,AgentExecutor,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(AgentExecutor)
mlflow_tracing-3.15.2/mlflow/langchain/utils/chat.py,Python,80,HIGH,0,0,from LangChain,AgentExecutor,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(AgentExecutor)
mlflow_tracing-3.15.2/mlflow/agno/autolog_v1.py,Python,80,HIGH,0,0,from agno,agno.agent,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(agno.agent)
mlflow_tracing-3.15.2/mlflow/openai/autolog.py,Python,80,HIGH,0,0,from OpenAI; from openai,runner.run,,ai_sdk_import(2_sdk(s)_detected); agent_orchestration(runner.run)
mlflow_tracing-3.15.2/mlflow/anthropic/__init__.py,Python,80,HIGH,0,0,from Anthropic; from anthropic; from claude_agent_sdk,claude_agent_sdk; ClaudeSDKClient,,"ai_sdk_import(3_sdk(s)_detected); agent_orchestration(claude_agent_sdk,ClaudeSDKClient)"
mlflow_tracing-3.15.2/mlflow/anthropic/autolog.py,Python,80,HIGH,0,0,from claude_agent_sdk,claude_agent_sdk,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(claude_agent_sdk)
mlflow_tracing-3.15.2/mlflow/crewai/autolog.py,Python,80,HIGH,0,0,from crewai; import litellm; import crewai,crewai; AgentExecutor; CrewAI; crewAI,,"ai_sdk_import(3_sdk(s)_detected); agent_orchestration(crewai,AgentExecutor)"
mlflow_tracing-3.15.2/mlflow/smolagents/__init__.py,Python,80,HIGH,0,0,from Smolagents; import smolagents; from smolagents,CodeAgent; ToolCallingAgent,,"ai_sdk_import(3_sdk(s)_detected); agent_orchestration(CodeAgent,ToolCallingAgent)"
mlflow_tracing-3.15.2/mlflow/smolagents/autolog.py,Python,80,HIGH,0,0,from smolagents,CodeAgent; ToolCallingAgent,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(CodeAgent,ToolCallingAgent)"
mlflow_tracing-3.15.2/mlflow/tracking/fluent.py,Python,60,ELEVATED,0,0,,crewai,,agent_orchestration(crewai); dynamic_import(x1)
mlflow_tracing-3.15.2/mlflow/pydantic_ai/__init__.py,Python,60,ELEVATED,0,0,import pydantic_ai; from pydantic_ai,,,ai_sdk_import(2_sdk(s)_detected); dynamic_import(x2)
mlflow_tracing-3.15.2/mlflow/pydantic_ai/autolog.py,Python,60,ELEVATED,0,0,from pydantic_ai,,,ai_sdk_import(1_sdk(s)_detected); dynamic_import(x1)
mlflow_tracing-3.15.2/mlflow/llama_index/serialize_objects.py,Python,60,ELEVATED,0,0,from llama_index,,,ai_sdk_import(1_sdk(s)_detected); dynamic_import(x2)
mlflow_tracing-3.15.2/mlflow/agno/utils.py,Python,60,ELEVATED,0,0,from agno; import agno,,,ai_sdk_import(2_sdk(s)_detected); dynamic_import(x2)
mlflow_tracing-3.15.2/mlflow/utils/requirements_utils.py,Python,60,ELEVATED,0,0,,,subprocess/shell execution with variables (1 occurrence(s)),subprocess_variable_execution(x1); dynamic_import(x3)
mlflow_tracing-3.15.2/mlflow/tracking/client.py,Python,58,ELEVATED,0,1,import openai,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_partial(1)
mlflow_tracing-3.15.2/mlflow/tracking/_model_registry/fluent.py,Python,58,ELEVATED,0,1,import openai,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_partial(1)
mlflow_tracing-3.15.2/mlflow/dspy/wrapper.py,Python,58,ELEVATED,0,1,import dspy,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_partial(1)
mlflow_tracing-3.15.2/mlflow/langchain/langchain_tracer.py,Python,58,ELEVATED,0,1,,create_react_agent,,agent_orchestration(create_react_agent); prompt_injection_partial(1)
mlflow_tracing-3.15.2/mlflow/openai/model.py,Python,58,ELEVATED,0,1,from openai; import openai; import OpenAI,,,ai_sdk_import(3_sdk(s)_detected); prompt_injection_partial(1)
mlflow_tracing-3.15.2/mlflow/environment_variables.py,Python,40,ELEVATED,0,0,,AgentExecutor,,agent_orchestration(AgentExecutor)
mlflow_tracing-3.15.2/mlflow/__init__.py,Python,40,ELEVATED,0,0,,crewai,,agent_orchestration(crewai)
mlflow_tracing-3.15.2/mlflow/ml_package_versions.py,Python,40,ELEVATED,0,0,,crewai,,agent_orchestration(crewai)
