rel_path,language,ais,risk,gss,injection_vectors,sdk_found,agent_patterns,dangerous_exec,signals
ollama-0.6.2/examples/web_search_gpt_oss_helper.py,Python,75,HIGH,0,3,from ollama,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_vectors(3_unsanitised_inputs)
ollama-0.6.2/examples/web-search.py,Python,75,HIGH,0,3,from ollama,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_vectors(3_unsanitised_inputs)
ollama-0.6.2/examples/chat-with-history.py,Python,75,HIGH,0,3,from ollama,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_vectors(3_unsanitised_inputs)
ollama-0.6.2/examples/gpt-oss-tools-stream.py,Python,75,HIGH,0,3,from ollama,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_vectors(3_unsanitised_inputs)
ollama-0.6.2/examples/web-search-gpt-oss.py,Python,75,HIGH,0,3,from ollama,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_vectors(3_unsanitised_inputs)
ollama-0.6.2/examples/multi-tool.py,Python,58,ELEVATED,0,2,from ollama,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_partial(2)
ollama-0.6.2/examples/async-tools.py,Python,58,ELEVATED,0,1,import ollama; from ollama,,,ai_sdk_import(2_sdk(s)_detected); prompt_injection_partial(1)
ollama-0.6.2/examples/tools.py,Python,58,ELEVATED,0,1,from ollama,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_partial(1)
ollama-0.6.2/examples/gpt-oss-tools.py,Python,58,ELEVATED,0,2,from ollama,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_partial(2)
ollama-0.6.2/tests/test_client.py,Python,58,ELEVATED,0,2,from ollama,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_partial(2)
ollama-0.6.2/examples/chat-stream.py,Python,40,ELEVATED,0,0,from ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/examples/structured-outputs.py,Python,40,ELEVATED,0,0,from ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/examples/chat.py,Python,40,ELEVATED,0,0,from ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/examples/create.py,Python,40,ELEVATED,0,0,from ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/examples/multimodal-chat.py,Python,40,ELEVATED,0,0,from ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/examples/async-generate.py,Python,40,ELEVATED,0,0,import ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/examples/embed.py,Python,40,ELEVATED,0,0,from ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/examples/generate-stream.py,Python,40,ELEVATED,0,0,from ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/examples/generate-logprobs.py,Python,40,ELEVATED,0,0,import ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/examples/async-structured-outputs.py,Python,40,ELEVATED,0,0,from ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/examples/ps.py,Python,40,ELEVATED,0,0,from ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/examples/show.py,Python,40,ELEVATED,0,0,from ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/examples/generate-image.py,Python,40,ELEVATED,0,0,from ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/examples/pull.py,Python,40,ELEVATED,0,0,from ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/examples/structured-outputs-image.py,Python,40,ELEVATED,0,0,from ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/examples/thinking-generate.py,Python,40,ELEVATED,0,0,from ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/examples/generate.py,Python,40,ELEVATED,0,0,from ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/examples/thinking.py,Python,40,ELEVATED,0,0,from ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/examples/multimodal-generate.py,Python,40,ELEVATED,0,0,from ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/examples/web-search-mcp.py,Python,40,ELEVATED,0,0,from ollama; from mcp; import FastMCP,,,ai_sdk_import(3_sdk(s)_detected)
ollama-0.6.2/examples/thinking-levels.py,Python,40,ELEVATED,0,0,from ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/examples/fill-in-middle.py,Python,40,ELEVATED,0,0,from ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/examples/chat-logprobs.py,Python,40,ELEVATED,0,0,import ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/examples/async-chat.py,Python,40,ELEVATED,0,0,from ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/examples/list.py,Python,40,ELEVATED,0,0,from ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/ollama/__init__.py,Python,40,ELEVATED,0,0,from ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/ollama/_client.py,Python,40,ELEVATED,0,0,from ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/ollama/_utils.py,Python,40,ELEVATED,0,0,from ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/tests/test_utils.py,Python,40,ELEVATED,0,0,from ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/tests/test_type_serialization.py,Python,40,ELEVATED,0,0,from ollama,,,ai_sdk_import(1_sdk(s)_detected)
ollama-0.6.2/ollama/_types.py,Python,0,NORMAL,0,0,,,,
