rel_path,language,ais,risk,gss,injection_vectors,sdk_found,agent_patterns,dangerous_exec,signals
openai_agents-0.22.0/examples/sandbox/unix_local_runner.py,Python,100,HIGH,0,0,from openai,Runner.run,eval/exec found (1 occurrence(s)),ai_sdk_import(1_sdk(s)_detected); agent_orchestration(Runner.run); dynamic_execution(eval/exec_x1)
openai_agents-0.22.0/examples/sandbox/extensions/vercel_runner.py,Python,100,HIGH,0,0,from openai,Runner.run,eval/exec found (1 occurrence(s)),ai_sdk_import(1_sdk(s)_detected); agent_orchestration(Runner.run); dynamic_execution(eval/exec_x1)
openai_agents-0.22.0/examples/sandbox/extensions/daytona/usaspending_text2sql/agent.py,Python,100,HIGH,0,1,from openai,,eval/exec found (3 occurrence(s)),ai_sdk_import(1_sdk(s)_detected); dynamic_execution(eval/exec_x3); prompt_injection_partial(1)
openai_agents-0.22.0/examples/sandbox/extensions/runloop/capabilities.py,Python,100,HIGH,0,0,from openai,Runner.run,eval/exec found (1 occurrence(s)),ai_sdk_import(1_sdk(s)_detected); agent_orchestration(Runner.run); dynamic_execution(eval/exec_x1)
openai_agents-0.22.0/examples/mcp/prompt_server/main.py,Python,100,HIGH,0,1,from MCP,Runner.run,subprocess/shell execution with variables (1 occurrence(s)),ai_sdk_import(1_sdk(s)_detected); agent_orchestration(Runner.run); subprocess_variable_execution(x1); prompt_injection_partial(1)
openai_agents-0.22.0/tests/test_run_state.py,Python,100,HIGH,0,0,from openai; import Mcp,function_tool; Runner.run; handoff(; RunContext,,"ai_sdk_import(2_sdk(s)_detected); agent_orchestration(function_tool,Runner.run); dynamic_import(x1)"
openai_agents-0.22.0/tests/test_programmatic_tool_calling.py,Python,100,HIGH,0,0,from openai,function_tool; Runner.run,eval/exec found (1 occurrence(s)),"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(function_tool,Runner.run); dynamic_execution(eval/exec_x1)"
openai_agents-0.22.0/tests/models/test_any_llm_model.py,Python,100,HIGH,0,0,from openai,function_tool; handoff(,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(function_tool,handoff(); dynamic_import(x2)"
openai_agents-0.22.0/tests/memory/test_openai_responses_compaction_session.py,Python,100,HIGH,0,5,from openai,Runner.run,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(Runner.run); prompt_injection_vectors(5_unsanitised_inputs)
openai_agents-0.22.0/tests/sandbox/test_runtime.py,Python,100,HIGH,0,2,from openai,function_tool; Runner.run,eval/exec found (8 occurrence(s)),"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(function_tool,Runner.run); dynamic_execution(eval/exec_x8); prompt_injection_partial(2)"
