rel_path,language,ais,risk,gss,injection_vectors,sdk_found,agent_patterns,dangerous_exec,signals
pydantic_ai_slim-2.37.0/pydantic_ai/messages.py,Python,100,HIGH,0,6,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext); prompt_injection_vectors(6_unsanitised_inputs)
pydantic_ai_slim-2.37.0/pydantic_ai/models/bedrock.py,Python,100,HIGH,0,4,from pydantic_ai; http:bedrock-runtime,RunContext,,ai_sdk_import(1_sdk(s)_detected); ai_http_endpoint(bedrock-runtime); agent_orchestration(RunContext); cost_risk(ai_calls_inside_loop); prompt_injection_vectors(4_unsanitised_inputs)
pydantic_ai_slim-2.37.0/pydantic_ai/models/huggingface.py,Python,100,HIGH,0,4,from huggingface_hub,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext); prompt_injection_vectors(4_unsanitised_inputs)
pydantic_ai_slim-2.37.0/pydantic_ai/models/openai.py,Python,98,HIGH,0,1,from openai; from OpenAI; from pydantic_ai,RunContext,,ai_sdk_import(3_sdk(s)_detected); agent_orchestration(RunContext); prompt_injection_partial(1)
pydantic_ai_slim-2.37.0/pydantic_ai/ui/_adapter.py,Python,98,HIGH,0,1,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext); prompt_injection_partial(1)
pydantic_ai_slim-2.37.0/pydantic_ai/_agent_graph.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext; runner.run,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext,runner.run)"
pydantic_ai_slim-2.37.0/pydantic_ai/_output.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/_run_context.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/mcp.py,Python,80,HIGH,0,0,from pydantic_ai; from fastmcp; from mcp; import FastMCP; from MCP,RunContext,,ai_sdk_import(5_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/run.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/output.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/_utils.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/_instructions.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/template.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/tools.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/result.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/_history_processor.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/capabilities/capability.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/capabilities/reinject_system_prompt.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/capabilities/__init__.py,Python,80,HIGH,0,0,from pydantic_ai; import MCP,agent.run(,,ai_sdk_import(2_sdk(s)_detected); agent_orchestration(agent.run()
pydantic_ai_slim-2.37.0/pydantic_ai/capabilities/_dynamic.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext; agent.run(,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext,agent.run()"
pydantic_ai_slim-2.37.0/pydantic_ai/capabilities/_tool_search.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/capabilities/process_event_stream.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/capabilities/image_generation.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/capabilities/web_search.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/capabilities/mcp.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/capabilities/process_history.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/capabilities/instrumentation.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/capabilities/hooks.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/capabilities/include_return_schemas.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/capabilities/thread_executor.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/capabilities/combined.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/capabilities/native_or_local.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/capabilities/_deferred_capability_loader.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/capabilities/x_search.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
pydantic_ai_slim-2.37.0/pydantic_ai/capabilities/wrapper.py,Python,80,HIGH,0,0,from pydantic_ai,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
