rel_path,language,ais,risk,gss,injection_vectors,sdk_found,agent_patterns,dangerous_exec,signals
semantic_kernel-1.44.1/semantic_kernel/agents/agent.py,Python,100,HIGH,0,0,from semantic_kernel; from mcp,kernel.add_plugin,,ai_sdk_import(2_sdk(s)_detected); agent_orchestration(kernel.add_plugin); dynamic_import(x1)
semantic_kernel-1.44.1/semantic_kernel/agents/azure_ai/agent_thread_actions.py,Python,100,HIGH,0,3,from azure.ai.agents; from semantic_kernel; from azure.ai.projects,FunctionChoiceBehavior,,ai_sdk_import(3_sdk(s)_detected); agent_orchestration(FunctionChoiceBehavior); prompt_injection_vectors(3_unsanitised_inputs)
semantic_kernel-1.44.1/semantic_kernel/agents/open_ai/responses_agent_thread_actions.py,Python,98,HIGH,0,1,from openai; from semantic_kernel,FunctionChoiceBehavior,,ai_sdk_import(2_sdk(s)_detected); agent_orchestration(FunctionChoiceBehavior); prompt_injection_partial(1)
semantic_kernel-1.44.1/semantic_kernel/agents/open_ai/assistant_thread_actions.py,Python,98,HIGH,0,1,from openai; from semantic_kernel,FunctionChoiceBehavior; OpenAIAssistantAgent,,"ai_sdk_import(2_sdk(s)_detected); agent_orchestration(FunctionChoiceBehavior,OpenAIAssistantAgent); prompt_injection_partial(1)"
semantic_kernel-1.44.1/semantic_kernel/connectors/in_memory.py,Python,90,HIGH,0,0,from semantic_kernel,,eval/exec found (1 occurrence(s)),ai_sdk_import(1_sdk(s)_detected); dynamic_execution(eval/exec_x1)
semantic_kernel-1.44.1/semantic_kernel/kernel.py,Python,80,HIGH,0,0,from semantic_kernel; from mcp,FunctionChoiceBehavior,,ai_sdk_import(2_sdk(s)_detected); agent_orchestration(FunctionChoiceBehavior)
semantic_kernel-1.44.1/semantic_kernel/connectors/mcp.py,Python,80,HIGH,0,0,from mcp; from semantic_kernel; from MCP,kernel.add_plugin,,ai_sdk_import(3_sdk(s)_detected); agent_orchestration(kernel.add_plugin)
semantic_kernel-1.44.1/semantic_kernel/connectors/ai/__init__.py,Python,80,HIGH,0,0,from semantic_kernel,FunctionChoiceBehavior,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(FunctionChoiceBehavior)
semantic_kernel-1.44.1/semantic_kernel/connectors/ai/function_choice_behavior.py,Python,80,HIGH,0,0,from semantic_kernel,FunctionChoiceBehavior,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(FunctionChoiceBehavior)
semantic_kernel-1.44.1/semantic_kernel/connectors/ai/prompt_execution_settings.py,Python,80,HIGH,0,0,from semantic_kernel,FunctionChoiceBehavior,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(FunctionChoiceBehavior)
semantic_kernel-1.44.1/semantic_kernel/connectors/ai/open_ai/services/open_ai_chat_completion_base.py,Python,80,HIGH,0,0,from openai; from semantic_kernel,FunctionChoiceBehavior,,ai_sdk_import(2_sdk(s)_detected); agent_orchestration(FunctionChoiceBehavior)
semantic_kernel-1.44.1/semantic_kernel/agents/chat_completion/chat_completion_agent.py,Python,80,HIGH,0,0,from semantic_kernel,FunctionChoiceBehavior; ChatCompletionAgent,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(FunctionChoiceBehavior,ChatCompletionAgent)"
semantic_kernel-1.44.1/semantic_kernel/agents/orchestration/group_chat.py,Python,80,HIGH,0,0,from semantic_kernel,GroupChatManager,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(GroupChatManager)
semantic_kernel-1.44.1/semantic_kernel/agents/copilot_studio/copilot_studio_agent_settings.py,Python,80,HIGH,0,0,from semantic_kernel,AgentType.,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(AgentType.)
semantic_kernel-1.44.1/semantic_kernel/agents/autogen/autogen_conversable_agent.py,Python,80,HIGH,0,0,from autogen; from semantic_kernel,ConversableAgent,,ai_sdk_import(2_sdk(s)_detected); agent_orchestration(ConversableAgent)
semantic_kernel-1.44.1/semantic_kernel/agents/azure_ai/azure_ai_agent.py,Python,80,HIGH,0,0,from azure.ai.agents; from azure.ai.projects; from semantic_kernel,FunctionChoiceBehavior,,ai_sdk_import(3_sdk(s)_detected); agent_orchestration(FunctionChoiceBehavior)
semantic_kernel-1.44.1/semantic_kernel/agents/bedrock/bedrock_agent.py,Python,80,HIGH,0,0,from semantic_kernel,FunctionChoiceBehavior,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(FunctionChoiceBehavior)
semantic_kernel-1.44.1/semantic_kernel/agents/bedrock/bedrock_agent_base.py,Python,80,HIGH,0,0,from semantic_kernel,FunctionChoiceBehavior,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(FunctionChoiceBehavior)
semantic_kernel-1.44.1/semantic_kernel/agents/runtime/in_process/in_process_runtime.py,Python,80,HIGH,0,0,from semantic_kernel,RunContext,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(RunContext)
semantic_kernel-1.44.1/semantic_kernel/agents/channels/open_ai_assistant_channel.py,Python,80,HIGH,0,0,from openai; from semantic_kernel,OpenAIAssistantAgent,,ai_sdk_import(2_sdk(s)_detected); agent_orchestration(OpenAIAssistantAgent)
semantic_kernel-1.44.1/semantic_kernel/agents/open_ai/openai_responses_agent.py,Python,80,HIGH,0,0,from openai; from semantic_kernel,FunctionChoiceBehavior,,ai_sdk_import(2_sdk(s)_detected); agent_orchestration(FunctionChoiceBehavior)
semantic_kernel-1.44.1/semantic_kernel/agents/open_ai/openai_assistant_agent.py,Python,80,HIGH,0,0,from openai; from semantic_kernel,FunctionChoiceBehavior; OpenAIAssistantAgent,,"ai_sdk_import(2_sdk(s)_detected); agent_orchestration(FunctionChoiceBehavior,OpenAIAssistantAgent)"
semantic_kernel-1.44.1/semantic_kernel/agents/open_ai/assistant_content_generation.py,Python,80,HIGH,0,0,from openai; from semantic_kernel,OpenAIAssistantAgent,,ai_sdk_import(2_sdk(s)_detected); agent_orchestration(OpenAIAssistantAgent)
semantic_kernel-1.44.1/semantic_kernel/agents/open_ai/azure_assistant_agent.py,Python,80,HIGH,0,0,from openai; from semantic_kernel,OpenAIAssistantAgent,,ai_sdk_import(2_sdk(s)_detected); agent_orchestration(OpenAIAssistantAgent)
semantic_kernel-1.44.1/semantic_kernel/core_plugins/conversation_summary_plugin.py,Python,80,HIGH,0,0,from semantic_kernel,kernel.add_plugin,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(kernel.add_plugin)
semantic_kernel-1.44.1/semantic_kernel/core_plugins/text_plugin.py,Python,80,HIGH,0,0,from semantic_kernel,kernel.add_plugin,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(kernel.add_plugin)
semantic_kernel-1.44.1/semantic_kernel/core_plugins/math_plugin.py,Python,80,HIGH,0,0,from semantic_kernel,kernel.add_plugin,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(kernel.add_plugin)
semantic_kernel-1.44.1/semantic_kernel/core_plugins/http_plugin.py,Python,80,HIGH,0,0,from semantic_kernel,kernel.add_plugin,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(kernel.add_plugin)
semantic_kernel-1.44.1/semantic_kernel/core_plugins/time_plugin.py,Python,80,HIGH,0,0,from semantic_kernel,kernel.add_plugin,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(kernel.add_plugin)
semantic_kernel-1.44.1/semantic_kernel/core_plugins/wait_plugin.py,Python,80,HIGH,0,0,from semantic_kernel,kernel.add_plugin,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(kernel.add_plugin)
semantic_kernel-1.44.1/semantic_kernel/core_plugins/web_search_engine_plugin.py,Python,80,HIGH,0,0,from semantic_kernel,kernel.add_plugin,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(kernel.add_plugin)
semantic_kernel-1.44.1/semantic_kernel/core_plugins/crew_ai/crew_ai_enterprise.py,Python,80,HIGH,0,0,from semantic_kernel,CrewAI,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(CrewAI)
semantic_kernel-1.44.1/semantic_kernel/processes/process_step_builder.py,Python,80,HIGH,0,0,from semantic_kernel,kernel.add_plugin,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(kernel.add_plugin)
semantic_kernel-1.44.1/semantic_kernel/processes/process_builder.py,Python,80,HIGH,0,0,from semantic_kernel,,subprocess/shell execution with variables (1 occurrence(s)),ai_sdk_import(1_sdk(s)_detected); subprocess_variable_execution(x1)
semantic_kernel-1.44.1/semantic_kernel/processes/local_runtime/local_step.py,Python,80,HIGH,0,0,from semantic_kernel,kernel.invoke; kernel.add_plugin,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(kernel.invoke,kernel.add_plugin)"
