rel_path,language,ais,risk,gss,injection_vectors,sdk_found,agent_patterns,dangerous_exec,signals
sentence_transformers-6.0.1/sentence_transformers/cross_encoder/model.py,Python,90,HIGH,0,0,,hand_rolled_loop,eval/exec found (1 occurrence(s)),agent_loop(ai_call_inside_loop); cost_risk(ai_calls_inside_loop); dynamic_execution(eval/exec_x1)
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/model.py,Python,50,ELEVATED,0,0,,,eval/exec found (1 occurrence(s)),dynamic_execution(eval/exec_x1)
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/model.py,Python,50,ELEVATED,0,0,,,eval/exec found (1 occurrence(s)),dynamic_execution(eval/exec_x1)
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/evaluation/label_accuracy.py,Python,50,ELEVATED,0,0,,,eval/exec found (1 occurrence(s)),dynamic_execution(eval/exec_x1)
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/evaluation/mse_from_dataframe.py,Python,50,ELEVATED,0,0,,,eval/exec found (1 occurrence(s)),dynamic_execution(eval/exec_x1)
sentence_transformers-6.0.1/sentence_transformers/multi_vector_encoder/model.py,Python,50,ELEVATED,0,0,,,eval/exec found (1 occurrence(s)),dynamic_execution(eval/exec_x1)
sentence_transformers-6.0.1/sentence_transformers/backend/utils.py,Python,40,ELEVATED,0,0,import huggingface_hub; from huggingface_hub,,,ai_sdk_import(2_sdk(s)_detected)
sentence_transformers-6.0.1/sentence_transformers/cross_encoder/model_card.py,Python,40,ELEVATED,0,0,,hand_rolled_loop,,agent_loop(ai_call_inside_loop); cost_risk(ai_calls_inside_loop)
sentence_transformers-6.0.1/sentence_transformers/base/model.py,Python,40,ELEVATED,0,0,from huggingface_hub,,,ai_sdk_import(1_sdk(s)_detected)
sentence_transformers-6.0.1/sentence_transformers/base/model_card.py,Python,40,ELEVATED,0,0,from huggingface_hub,,,ai_sdk_import(1_sdk(s)_detected)
sentence_transformers-6.0.1/sentence_transformers/util/file_io.py,Python,40,ELEVATED,0,0,from huggingface_hub,,,ai_sdk_import(1_sdk(s)_detected)
sentence_transformers-6.0.1/sentence_transformers/base/modules/transformer.py,Python,38,NORMAL,0,2,,,,dynamic_import(x1); prompt_injection_partial(2)
sentence_transformers-6.0.1/sentence_transformers/base/modality.py,Python,35,NORMAL,0,7,,,,prompt_injection_vectors(7_unsanitised_inputs)
sentence_transformers-6.0.1/sentence_transformers/util/deprecated_import.py,Python,20,NORMAL,0,0,,,,dynamic_import(x1)
sentence_transformers-6.0.1/sentence_transformers/util/misc.py,Python,20,NORMAL,0,0,,,,dynamic_import(x2)
sentence_transformers-6.0.1/sentence_transformers/__init__.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/__init__.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/search_engines.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/data_collator.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/training_args.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/model_card.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/trainer.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/evaluation/__init__.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/evaluation/reciprocal_rank_fusion.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/evaluation/sparse_mse.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/evaluation/sparse_embedding_similarity.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/evaluation/sparse_triplet.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/evaluation/sparse_information_retrieval.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/evaluation/sparse_binary_classification.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/evaluation/sparse_translation.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/evaluation/sparse_nano_beir.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/evaluation/sparse_reranking.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/modules/__init__.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/modules/sparse_static_embedding.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/modules/mlm_transformer.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/modules/sparse_auto_encoder.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/modules/splade_pooling.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/callbacks/__init__.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/callbacks/splade_callbacks.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/losses/__init__.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/losses/sparse_multiple_negatives_ranking.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/losses/sparse_mse.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/losses/sparse_angle.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/losses/cached_splade.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/losses/sparse_margin_mse.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/losses/csr.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/losses/sparse_triplet.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/losses/flops.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/losses/sparse_cosent.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/losses/sparse_cosine_similarity.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/losses/splade.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sparse_encoder/losses/sparse_distill_kl_div.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/__init__.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/data_collator.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/training_args.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/deprecated_model_card_templates.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/model_card.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/trainer.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/fit_mixin.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/evaluation/__init__.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/evaluation/information_retrieval.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/evaluation/reranking.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/evaluation/paraphrase_mining.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/evaluation/triplet.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/evaluation/binary_classification.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/evaluation/mse.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/evaluation/nano_beir.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/evaluation/translation.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/evaluation/embedding_similarity.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/modules/__init__.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/modules/dropout.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/modules/pooling.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/modules/word_weights.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/modules/static_embedding.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/modules/word_embeddings.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/modules/weighted_layer_pooling.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/modules/lstm.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/modules/layer_norm.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/modules/cnn.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/modules/bow.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/modules/clip_model.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/modules/tokenizer/__init__.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/modules/tokenizer/phrase.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/modules/tokenizer/word.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/modules/tokenizer/whitespace.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/datasets/__init__.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/datasets/sentence_label.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/datasets/sentences.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/datasets/no_duplicates_dataloader.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/datasets/denoising_auto_encoder.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/datasets/parallel_sentences.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/losses/__init__.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/losses/distill_kl_div.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/losses/contrastive.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/losses/multiple_negatives_symmetric_ranking.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/losses/batch_hard_soft_margin_triplet.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/losses/cached_multiple_negatives_ranking.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/losses/batch_hard_triplet.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/losses/cosine_similarity.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/losses/cached_gist_embed.py,Python,0,NORMAL,0,0,,,,
sentence_transformers-6.0.1/sentence_transformers/sentence_transformer/losses/softmax.py,Python,0,NORMAL,0,0,,,,
