rel_path,language,ais,risk,gss,injection_vectors,sdk_found,agent_patterns,dangerous_exec,signals
smolagents-1.26.0/src/smolagents/tools.py,Python,100,HIGH,0,0,from huggingface_hub; import mcp; from smolagents; from MCP; from mcp,CodeAgent,eval/exec found (1 occurrence(s)),ai_sdk_import(5_sdk(s)_detected); agent_orchestration(CodeAgent); dynamic_execution(eval/exec_x1)
smolagents-1.26.0/tests/test_remote_executors.py,Python,100,HIGH,0,0,from smolagents,,eval/exec found (2 occurrence(s)),ai_sdk_import(1_sdk(s)_detected); dynamic_execution(eval/exec_x2); dynamic_import(x3)
smolagents-1.26.0/tests/test_local_python_executor.py,Python,100,HIGH,0,0,from smolagents; import smolagents,,eval/exec found (3 occurrence(s)),ai_sdk_import(2_sdk(s)_detected); dynamic_execution(eval/exec_x3); dynamic_import(x1)
smolagents-1.26.0/src/smolagents/models.py,Python,98,HIGH,0,1,import litellm; from smolagents; from litellm; from huggingface_hub; import openai; http:bedrock-runtime,CodeAgent,,ai_sdk_import(5_sdk(s)_detected); ai_http_endpoint(bedrock-runtime); agent_orchestration(CodeAgent); prompt_injection_partial(1)
smolagents-1.26.0/tests/test_agents.py,Python,98,HIGH,0,1,from huggingface_hub; from smolagents,CodeAgent; ToolCallingAgent; agent.run(,,"ai_sdk_import(2_sdk(s)_detected); agent_orchestration(CodeAgent,ToolCallingAgent); prompt_injection_partial(1)"
smolagents-1.26.0/tests/test_serialization.py,Python,90,HIGH,0,0,from smolagents,,eval/exec found (2 occurrence(s)),ai_sdk_import(1_sdk(s)_detected); dynamic_execution(eval/exec_x2)
smolagents-1.26.0/src/smolagents/default_tools.py,Python,80,HIGH,0,0,from smolagents,CodeAgent,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(CodeAgent)
smolagents-1.26.0/src/smolagents/vision_web_browser.py,Python,80,HIGH,0,0,from smolagents,CodeAgent; initialize_agent; agent.run(,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(CodeAgent,initialize_agent)"
smolagents-1.26.0/src/smolagents/agents.py,Python,80,HIGH,0,0,from huggingface_hub; from smolagents,ToolCallingAgent; CodeAgent; HfApiModel,,"ai_sdk_import(2_sdk(s)_detected); agent_orchestration(ToolCallingAgent,CodeAgent)"
smolagents-1.26.0/src/smolagents/monitoring.py,Python,80,HIGH,0,0,from smolagents,CodeAgent,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(CodeAgent)
smolagents-1.26.0/src/smolagents/cli.py,Python,80,HIGH,0,0,from smolagents; http:api.fireworks.ai,CodeAgent; ToolCallingAgent; agent.run(,,"ai_sdk_import(1_sdk(s)_detected); ai_http_endpoint(api.fireworks.ai); agent_orchestration(CodeAgent,ToolCallingAgent)"
smolagents-1.26.0/src/smolagents/gradio_ui.py,Python,80,HIGH,0,0,from smolagents,CodeAgent,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(CodeAgent)
smolagents-1.26.0/tests/test_cli.py,Python,80,HIGH,0,0,from smolagents; http:api.fireworks.ai,CodeAgent,,ai_sdk_import(1_sdk(s)_detected); ai_http_endpoint(api.fireworks.ai); agent_orchestration(CodeAgent)
smolagents-1.26.0/tests/test_monitoring.py,Python,80,HIGH,0,0,from smolagents,CodeAgent; ToolCallingAgent,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(CodeAgent,ToolCallingAgent)"
smolagents-1.26.0/tests/test_utils.py,Python,80,HIGH,0,0,from smolagents,CodeAgent,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(CodeAgent)
smolagents-1.26.0/src/smolagents/utils.py,Python,40,ELEVATED,0,0,from smolagents,,,ai_sdk_import(1_sdk(s)_detected)
smolagents-1.26.0/src/smolagents/memory.py,Python,40,ELEVATED,0,0,from smolagents,,,ai_sdk_import(1_sdk(s)_detected)
smolagents-1.26.0/src/smolagents/mcp_client.py,Python,40,ELEVATED,0,0,from smolagents; from MCP,,,ai_sdk_import(2_sdk(s)_detected)
smolagents-1.26.0/src/smolagents/agent_types.py,Python,40,ELEVATED,0,0,,AgentType.,,agent_orchestration(AgentType.)
smolagents-1.26.0/tests/test_yield_support.py,Python,40,ELEVATED,0,0,from smolagents,,,ai_sdk_import(1_sdk(s)_detected)
smolagents-1.26.0/tests/test_vision_web_browser.py,Python,40,ELEVATED,0,0,from smolagents,,,ai_sdk_import(1_sdk(s)_detected)
smolagents-1.26.0/tests/test_function_type_hints_utils.py,Python,40,ELEVATED,0,0,from smolagents,,,ai_sdk_import(1_sdk(s)_detected)
smolagents-1.26.0/tests/test_xpath_injection_fix.py,Python,40,ELEVATED,0,0,from smolagents,,,ai_sdk_import(1_sdk(s)_detected)
smolagents-1.26.0/tests/test_models.py,Python,40,ELEVATED,0,0,from huggingface_hub; from smolagents; from openai; from litellm; http:api.openai.com,,,ai_sdk_import(4_sdk(s)_detected); ai_http_endpoint(api.openai.com)
smolagents-1.26.0/tests/test_all_docs.py,Python,40,ELEVATED,0,0,,,subprocess/shell execution with variables (1 occurrence(s)),subprocess_variable_execution(x1)
smolagents-1.26.0/tests/test_telemetry.py,Python,40,ELEVATED,0,0,from smolagents,,,ai_sdk_import(1_sdk(s)_detected)
smolagents-1.26.0/tests/test_tools.py,Python,40,ELEVATED,0,0,import mcp; from smolagents; from mcp; import FastMCP,,,ai_sdk_import(4_sdk(s)_detected)
smolagents-1.26.0/tests/test_default_tools.py,Python,40,ELEVATED,0,0,from smolagents,,,ai_sdk_import(1_sdk(s)_detected)
smolagents-1.26.0/tests/test_types.py,Python,40,ELEVATED,0,0,from smolagents,,,ai_sdk_import(1_sdk(s)_detected)
smolagents-1.26.0/tests/test_tool_validation.py,Python,40,ELEVATED,0,0,from smolagents,,,ai_sdk_import(1_sdk(s)_detected)
smolagents-1.26.0/tests/test_gradio_ui.py,Python,40,ELEVATED,0,0,from smolagents,,,ai_sdk_import(1_sdk(s)_detected)
smolagents-1.26.0/tests/test_import.py,Python,40,ELEVATED,0,0,import smolagents,,,ai_sdk_import(1_sdk(s)_detected)
smolagents-1.26.0/tests/test_final_answer.py,Python,40,ELEVATED,0,0,from smolagents,,,ai_sdk_import(1_sdk(s)_detected)
smolagents-1.26.0/tests/test_mcp_client.py,Python,40,ELEVATED,0,0,from mcp; from smolagents; import FastMCP,,,ai_sdk_import(3_sdk(s)_detected)
smolagents-1.26.0/tests/test_search.py,Python,40,ELEVATED,0,0,from smolagents,,,ai_sdk_import(1_sdk(s)_detected)
smolagents-1.26.0/tests/test_memory.py,Python,40,ELEVATED,0,0,from smolagents,,,ai_sdk_import(1_sdk(s)_detected)
smolagents-1.26.0/src/smolagents/local_python_executor.py,Python,20,NORMAL,0,0,,,,dynamic_import(x1)
smolagents-1.26.0/src/smolagents/serialization.py,Python,20,NORMAL,0,0,,,,dynamic_import(x1)
smolagents-1.26.0/src/smolagents/tool_validation.py,Python,0,NORMAL,0,0,,,,
smolagents-1.26.0/src/smolagents/__init__.py,Python,0,NORMAL,0,0,,,,
smolagents-1.26.0/src/smolagents/pyodide_deno_executor.bak.py,Python,0,NORMAL,0,0,,,,
smolagents-1.26.0/src/smolagents/remote_executors.py,Python,0,NORMAL,0,0,,,,
