rel_path,language,ais,risk,gss,injection_vectors,sdk_found,agent_patterns,dangerous_exec,signals
strands_agents-1.54.0/tests_integ/test_multiagent_swarm.py,Python,100,HIGH,0,0,from strands; import Swarm,swarm(,eval/exec found (1 occurrence(s)),ai_sdk_import(2_sdk(s)_detected); agent_orchestration(swarm(); dynamic_execution(eval/exec_x1)
strands_agents-1.54.0/tests_integ/mcp/test_mcp_client.py,Python,98,HIGH,0,1,from mcp; from strands; import FastMCP,,subprocess/shell execution with variables (1 occurrence(s)),ai_sdk_import(3_sdk(s)_detected); subprocess_variable_execution(x1); prompt_injection_partial(1)
strands_agents-1.54.0/tests/strands/agent/test_agent.py,Python,95,HIGH,0,3,import strands; from strands,,,ai_sdk_import(2_sdk(s)_detected); dynamic_import(x1); prompt_injection_vectors(3_unsanitised_inputs)
strands_agents-1.54.0/tests/strands/middleware/test_middleware_interrupts.py,Python,90,HIGH,0,0,import strands; from strands,,eval/exec found (1 occurrence(s)),ai_sdk_import(2_sdk(s)_detected); dynamic_execution(eval/exec_x1)
strands_agents-1.54.0/tests/strands/middleware/test_execute_tool_middleware.py,Python,90,HIGH,0,0,import strands; from strands,,eval/exec found (1 occurrence(s)),ai_sdk_import(2_sdk(s)_detected); dynamic_execution(eval/exec_x1)
strands_agents-1.54.0/tests_integ/models/test_model_bedrock.py,Python,90,HIGH,0,0,import strands; from strands,,eval/exec found (3 occurrence(s)),ai_sdk_import(2_sdk(s)_detected); dynamic_execution(eval/exec_x3)
strands_agents-1.54.0/tests_integ/bidi/test_bidi_hooks.py,Python,90,HIGH,0,0,from strands,,eval/exec found (1 occurrence(s)),ai_sdk_import(1_sdk(s)_detected); dynamic_execution(eval/exec_x1)
strands_agents-1.54.0/src/strands/experimental/bidi/io/audio.py,Python,80,HIGH,0,0,from strands,agent.run(,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(agent.run()
strands_agents-1.54.0/src/strands/multiagent/swarm.py,Python,80,HIGH,0,0,from swarm,Swarm(; swarm (,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(Swarm(,swarm ()"
strands_agents-1.54.0/tests/strands/models/routing/test_router.py,Python,80,HIGH,0,0,from strands; import strands,add_node(,,ai_sdk_import(2_sdk(s)_detected); agent_orchestration(add_node()
strands_agents-1.54.0/tests/strands/multiagent/test_multiagent_plugins.py,Python,80,HIGH,0,0,from strands,Swarm(; add_node(,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(Swarm(,add_node()"
strands_agents-1.54.0/tests/strands/multiagent/test_graph.py,Python,80,HIGH,0,0,from strands,add_node(; add_edge(,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(add_node(,add_edge()"
strands_agents-1.54.0/tests/strands/multiagent/test_swarm.py,Python,80,HIGH,0,0,from strands,Swarm(; swarm(,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(Swarm(,swarm()"
strands_agents-1.54.0/tests/strands/session/test_snapshot_session_manager.py,Python,80,HIGH,0,0,from strands,add_node(,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(add_node()
strands_agents-1.54.0/tests/strands/hooks/test_multi_agent_hooks.py,Python,80,HIGH,0,0,from strands; import Swarm,swarm(; Swarm(; add_node(,,"ai_sdk_import(2_sdk(s)_detected); agent_orchestration(swarm(,Swarm()"
strands_agents-1.54.0/tests_integ/test_multiagent_graph.py,Python,80,HIGH,0,0,from strands,add_node(,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(add_node()
strands_agents-1.54.0/tests_integ/interrupts/multiagent/test_node.py,Python,80,HIGH,0,0,from strands,swarm(; add_node(,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(swarm(,add_node()"
strands_agents-1.54.0/tests_integ/interrupts/multiagent/test_session.py,Python,80,HIGH,0,0,from strands,swarm(; add_node(,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(swarm(,add_node()"
strands_agents-1.54.0/tests_integ/interrupts/multiagent/test_hook.py,Python,80,HIGH,0,0,from strands,swarm(; add_node(,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(swarm(,add_node()"
strands_agents-1.54.0/tests_integ/hooks/multiagent/test_events.py,Python,80,HIGH,0,0,from strands,add_node(; swarm(,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(add_node(,swarm()"
strands_agents-1.54.0/tests_integ/hooks/multiagent/test_cancel.py,Python,80,HIGH,0,0,from strands,swarm(; add_node(,,"ai_sdk_import(1_sdk(s)_detected); agent_orchestration(swarm(,add_node()"
strands_agents-1.54.0/tests_integ/a2a/test_multiagent_a2a.py,Python,80,HIGH,0,0,from strands,add_node(,,ai_sdk_import(1_sdk(s)_detected); agent_orchestration(add_node()
strands_agents-1.54.0/src/strands/experimental/bidi/models/nova_sonic.py,Python,75,HIGH,0,4,http:bedrock-runtime,,,ai_http_endpoint(bedrock-runtime); prompt_injection_vectors(4_unsanitised_inputs)
strands_agents-1.54.0/src/strands/models/openai.py,Python,75,HIGH,0,5,import openai; from openai,,,ai_sdk_import(2_sdk(s)_detected); prompt_injection_vectors(5_unsanitised_inputs)
strands_agents-1.54.0/src/strands/models/writer.py,Python,75,HIGH,0,3,import writerai,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_vectors(3_unsanitised_inputs)
strands_agents-1.54.0/tests/strands/experimental/bidi/models/test_nova_sonic.py,Python,75,HIGH,0,4,from strands,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_vectors(4_unsanitised_inputs)
strands_agents-1.54.0/tests/strands/models/test_sagemaker.py,Python,75,HIGH,0,3,from strands,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_vectors(3_unsanitised_inputs)
strands_agents-1.54.0/tests/strands/models/test_openai.py,Python,75,HIGH,0,5,import openai; import strands; from strands; http:api.openai.com,,,ai_sdk_import(3_sdk(s)_detected); ai_http_endpoint(api.openai.com); prompt_injection_vectors(5_unsanitised_inputs)
strands_agents-1.54.0/tests/strands/telemetry/test_tracer.py,Python,75,HIGH,0,18,from strands,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_vectors(18_unsanitised_inputs)
